movie_id,movie,release_date,franchise,review_id,review,review_date,days_since_release
557,Spider-Man,2002-05-01,Spider-Man,5c8429f592514127691f8310,Sam Raimi's Spider-Man captures the spirit of the comic book hero and it's still one of my all time favourite superhero movies. It lays out the perfect blueprint for a superhero origin story that I love revisiting every year or so. I've always been able to relate to Peter Parker growing up. Tobey Maguire and Co. delivered a great interpretation of the characters in a way that still can not be matched.,2019-03-09,6156
557,Spider-Man,2002-05-01,Spider-Man,5dc3308b470ead00158c8738,"So many Spiderman movies out there but this will always be the original. Though the other ones have better CGI and maybe action sequences, none can match the plot this one has.",2019-11-06,6398
557,Spider-Man,2002-05-01,Spider-Man,5dc38a688d22fc00183d1510,This is one of the few films that you can watch when you're bored and still be excited about what's going to happen (even though you've watched it over and over already and you've memorized almost all of the lines).,2019-11-07,6399
557,Spider-Man,2002-05-01,Spider-Man,5dc393ac9d89390015350524,I keep telling people that this is the real Spider-Man and I will always stand by that. Tobey Maguire the real MVP!,2019-11-07,6399
557,Spider-Man,2002-05-01,Spider-Man,5dc3999b7d2bc100173d1175,Films from the 2000s really are way different from the ones we have now. I wish all origin stories could be as good as this one.,2019-11-07,6399
557,Spider-Man,2002-05-01,Spider-Man,5dc56f5a99259c00157e4640,You can take your Tom Holland and Andrew Garfield with you. Tobey Maguire is the best Spider-Man of all time and no amount of CGI can change that!,2019-11-08,6400
557,Spider-Man,2002-05-01,Spider-Man,5dc57a4099259c00137db72b,It's 2019 and I still get chills every time I watch this film!,2019-11-08,6400
557,Spider-Man,2002-05-01,Spider-Man,5e00ef0765686e0013988081,Truly one of the most successful superheroes ever made!,2019-12-23,6445
557,Spider-Man,2002-05-01,Spider-Man,5e0102b665686e001597959a,"Was, still is, and will forever be one of my favorite childhood superhero movies!",2019-12-23,6445
557,Spider-Man,2002-05-01,Spider-Man,5e011b890284200014af8973,Lot of respect for Tobey Maguire for doing well on this one. He didn't do well in his previous films but he was able to do justice to Spider Man on this one.,2019-12-23,6445
